Index,GPS time,EKF Temp,EKF Tick,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel,EKF Tick SF,EKF Gyro SF,EKF Gyro Bias,EKF Tick SF Calib,EKF Gyro SF Calib,EKF Gyro B Calib
156,2018:522653.000,32.24,,0.24,-1.07,-0.20,-9.09,-3.22,3.38,,,,,,
157,,32.23,,0.75,-1.60,-0.93,-9.27,-3.37,3.56,,,,,,
158,,32.25,,0.18,-1.12,1.71,-8.89,-3.17,3.44,,,,,,
159,2018:522654.000,32.25,,-0.30,-0.84,0.73,-9.15,-3.30,3.70,,,,,,
160,2018:522654.000,,,,,,,,,,,,,,
161,2018:522654.000,32.24,,0.25,-0.88,-0.74,-9.07,-3.16,3.52,,,,,,
162,,32.24,,0.33,-1.49,0.01,-8.77,-3.08,3.34,,,,,,
163,2018:522655.000,32.27,,0.86,0.73,-0.57,-9.05,-3.35,3.66,,,,,,
164,2018:522655.000,,,,,,,,,,,,,,
165,2018:522655.000,32.26,,1.59,-0.42,-1.47,-9.20,-3.34,3.61,,,,,,
166,,32.27,,1.94,-1.33,-0.34,-8.74,-3.18,3.47,,,,,,
167,,32.26,,0.94,-1.81,-3.67,-9.24,-3.36,3.39,,,,,,
168,2018:522656.000,,,,,,,,,,,,,,
169,2018:522656.000,32.25,,2.63,-0.74,0.45,-9.00,-3.28,3.37,,,,,,
170,,32.25,,1.73,-0.35,-0.36,-9.13,-3.33,3.39,,,,,,
171,,32.27,,-0.47,-0.26,2.97,-9.16,-3.11,3.54,,,,,,
172,2018:522657.000,32.26,,1.11,-0.31,4.47,-9.06,-3.20,3.56,,,,,,
173,2018:522657.000,,,,,,,,,,,,,,
174,,32.28,,1.20,-0.36,-2.74,-9.39,-3.56,3.68,,,,,,
175,,32.25,,2.55,0.51,-3.71,-9.03,-3.14,3.24,,,,,,
176,,32.27,,-2.19,0.79,5.39,-9.59,-3.51,3.54,,,,,,
177,2018:522658.000,32.26,,0.89,-0.01,-0.55,,,,,,,,,
178,2018:522658.000,,,,,,,,,,,,,,
179,,32.27,,-1.58,0.36,2.59,-9.29,-3.43,3.55,,,,,,
180,,32.25,,-0.05,-0.55,2.46,-9.36,-3.28,3.52,,,,,,
181,2018:522659.000,32.27,,-0.08,2.30,-2.67,-8.66,-3.19,3.26,,,,,,
182,2018:522659.000,,,,,,,,,,,,,,
183,2018:522659.000,32.28,,1.05,0.72,1.89,-9.50,-3.44,3.58,,,,,,
184,,32.27,,2.24,0.54,4.63,-9.06,-3.33,3.71,,,,,,
185,,32.27,,1.83,-1.01,2.72,-9.40,-3.38,3.78,,,,,,
186,,32.25,,-0.61,0.52,-1.29,-9.02,-3.16,3.47,,,,,,
187,2018:522660.000,,,,,,,,,,,,,,
188,2018:522660.000,32.27,,1.88,-1.74,-2.03,-9.49,-3.45,3.74,,,,,,
189,,32.27,,1.72,-0.21,1.13,-8.89,-3.23,3.65,,,,,,
190,,32.26,,0.65,-2.63,1.95,-8.83,-2.87,3.53,,,,,,
191,2018:522661.000,32.27,,0.24,-0.61,-0.43,,,,,,,,,
192,2018:522661.000,,,,,,,,,,,,,,
193,,32.28,,0.64,0.12,-5.42,-8.95,-2.57,3.30,,,,,,
194,,32.25,,6.08,-3.21,-5.23,-8.48,-2.38,3.17,,,,,,
195,,32.27,,-5.79,-0.13,3.16,-8.80,-2.47,3.32,,,,,,
196,2018:522662.000,32.25,,-0.40,0.47,-1.99,-9.14,-2.47,3.45,,,,,,
197,2018:522662.000,,,,,,,,,,,,,,
198,2018:522662.000,32.26,,4.31,-2.67,1.99,-9.08,-2.41,3.39,,,,,,
199,,32.25,,-0.36,0.41,-0.68,-9.01,-2.44,3.21,,,,,,
200,,32.27,,0.92,0.62,-4.90,-9.05,-2.41,3.08,,,,,,
201,2018:522663.000,,,,,,,,,,,,,,
202,2018:522663.000,32.26,,-0.36,-1.09,4.74,-9.40,-2.47,3.46,,,,,,
203,,32.25,,0.95,-0.69,-2.82,-9.64,-2.66,3.53,,,,,,
204,,32.27,,-0.77,-1.76,3.76,-9.64,-2.61,3.55,,,,,,
205,2018:522664.000,32.27,,-0.33,-1.30,-0.84,-9.57,-2.52,3.27,,,,,,
206,2018:522664.000,,,,,,,,,,,,,,
207,2018:522664.000,32.27,,0.29,0.15,-1.26,-8.94,-2.42,3.26,,,,,,
208,,32.26,,0.41,-1.01,2.24,-9.27,-2.54,3.40,,,,,,
209,,32.26,,-0.98,-0.77,1.58,-9.22,-2.45,3.29,,,,,,
210,2018:522665.000,32.27,,0.74,-1.57,1.57,-9.66,-2.75,3.48,,,,,,
211,2018:522665.000,,,,,,,,,,,,,,
212,,32.27,,-2.62,0.33,-0.28,-9.65,-2.66,3.44,,,,,,
213,,32.27,,-0.01,-1.20,3.16,-9.84,-2.79,3.60,,,,,,
214,,32.26,,0.23,-0.95,1.75,-9.50,-2.39,3.27,,,,,,
215,2018:522666.000,32.26,,-1.55,0.85,1.59,-9.32,-2.30,3.26,,,,,,
216,2018:522666.000,,,,,,,,,,,,,,
